distance_m,distance_earth_radii,earth_solid_angle_sr,earth_ir_flux_w_m2,earth_albedo_flux_w_m2,extra_heat_ir_only_w,extra_heat_ir_plus_albedo_w,temperature_ir_only_k,temperature_ir_plus_albedo_k
35759172.726797275,5.612803755579544,0.1005259789214886,7.586442754139582,6.4802187793204835,0.7586442754139582,0.823446463207163,191.25799365909873,195.21710577939726
36308270.223484084,5.698990774365733,0.09748463620313516,7.35871516744471,6.285697495539069,0.735871516744471,0.7987284916998617,189.80644250876813,193.73549287352503
36865799.34869796,5.7865012319412905,0.09453601561671124,7.137823439850411,6.0970152939140645,0.7137823439850411,0.7747524969241819,188.3659132874008,192.26512983572127
37431889.573725894,5.875355450278747,0.0916772474922385,6.923562374567334,5.91399689861055,0.6923562374567335,0.7514962064428389,186.93632242785964,190.80593136310645
38006672.35794247,5.965574063403307,0.08890555357963692,6.715732934342359,5.7364722951715175,0.671573293434236,0.7289380163859511,185.517586999484,189.35781280232354
38590281.17933727,6.0571780221844715,0.08621824397684105,6.514142056563658,5.56427657258356,0.6514142056563659,0.7070569713822015,184.1096247033097,187.92069014465577
39182851.565512195,6.150188599201412,0.08361271417090584,6.31860247391547,5.397249770083025,0.631860247391547,0.6858327450923773,182.71235386732405,186.4944800211806
39784521.125153534,6.244627393682865,0.08108644218737107,6.1289325404168356,5.235236728561076,0.6128932540416836,0.6652456213272944,181.32569344176082,185.07909969796398
40395429.579988524,6.340516336523077,0.07863698584335001,5.944956062681837,5.078086946428858,0.5944956062681838,0.6452764757324724,179.94956299442927,183.67446707128943
41015718.79723137,6.437877695374567,0.07626198010006004,5.766502136245408,4.925654439809623,0.5766502136245408,0.625906758022637,178.58388270608276,182.28050066292758
41645532.82252879,6.536734079819304,0.07395913451069697,5.593404986801889,4.77779760692722,0.5593404986801889,0.6071184747494611,177.2285733658208,180.89711961543964
42285017.91341008,6.637108446619068,0.07172623075978429,5.425503816209617,4.634379096565662,0.5425503816209617,0.5888941725866184,175.88355636653048,179.52424368752082
42934322.573252246,6.739024105046656,0.0695611202902646,5.262642653117723,4.495265680476917,0.5262642653117723,0.5712169221165415,174.54875370036044,178.16179324937735
43593597.585765235,6.8425047222987345,0.0674617220148335,5.104670208077139,4.360328129619029,0.5104670208077139,0.5540703021039042,173.22408795423397,176.80968927814283
44262996.05000817,6.9475743289920215,0.065426020108135,4.951439733000487,4.229441094108994,0.49514397330004867,0.5374383842411385,171.90948230539416,175.46785335332763
44942673.415941864,7.054257324743661,0.06345206187661687,4.802808884840982,4.1024829867794415,0.48028088848409817,0.5213057183518925,170.6048605169875,174.1362076523071
45632787.520528235,7.162578483837425,0.061537955702990234,4.658639593363155,3.9793358702304946,0.4658639593363155,0.5056573180386205,169.31014693368004,172.81467494584325
46333498.624384,7.272562960976927,0.0596818690623726,4.518797932882833,3.859885347272094,0.45187979328828337,0.4904786467610043,168.02526647730897,171.50317859364228
47044969.44899628,7.384236297127026,0.057882026607323084,4.383153997857351,3.7440204546551383,0.4383153997857351,0.4757556043322865,166.75014464256986,170.20164253994858
47767365.2145111,7.497624425445157,0.05613670831911664,4.251581782209986,3.6316335599923377,0.42515817822099866,0.461474513820922,165.4847074927361,168.9099913091713
48500853.67810057,7.612753677303496,0.054444247722714285,4.1239590622770965,3.522620261773512,0.41239590622770966,0.44762210884544473,164.2288816554147,167.62815000154802
49245605.17292083,7.729650788403835,0.05280303016298317,4.000167283268634,3.4168792923819726,0.4000167283268634,0.4341855212506831,162.9825943183337,166.35604428884082
50001792.64766659,7.848342904986123,0.05121149113987348,3.8800914491371,3.3143124240223387,0.38800914491371,0.42115226915393345,161.74577322516524,165.09360041006826
50769591.70673463,7.968857590132574,0.04966811470029408,3.7636200157521635,3.2148243774719845,0.3763620015752164,0.4085102453499362,160.51834667138013,163.84074516726966
51549180.65100248,8.091222830168338,0.0481714318845964,3.650644787282142,3.1183227335717545,0.36506447872821424,0.39624770606393167,159.30024350013764,162.5974059213051
52340740.51923483,8.215467041160702,0.04672001922559389,3.5410608156856584,3.024717847373336,0.3541060815685659,0.3843532600422992,158.09139309820603,161.36351058768693
