distance_m,distance_earth_radii,earth_solid_angle_sr,earth_hemisphere_fraction,earth_ir_irradiance_w_m2,temperature_equal_area_kirchhoff_k,temperature_sphere_like_k,temperature_mismatch_stress_k
11184346.621256078,1.7555088088614155,1.119051063730419,0.17810250836493977,42.56649949922061,165.52517285882377,117.04397218554975,294.3500067379798
11313899.55966414,1.7758435974986877,1.0908857384532558,0.17361985762328816,41.495145971965876,164.47367257995535,116.30044920794235,292.48014544241795
11444953.16363797,1.796413932449846,1.0635085760250005,0.1692626468950016,40.453772607905385,163.43189751450728,115.56380299469296,290.6275782936397
11577524.816010961,1.8172225421458108,1.0368928235517838,0.16502661832477883,39.44136177962214,162.39963214025397,114.83388114857438,288.79192203290893
11711632.100969017,1.83827218662204,1.0110129327262425,0.16090770577321534,38.45694167979847,161.37667080961234,114.11053825478606,286.9728109613629
11847292.806383055,1.859565657884642,0.9858444860298916,0.15690202307154621,37.49958351409955,160.3628171018467,113.39363542289385,285.16989578805163
11984524.926168272,1.8811057802806894,0.9613641288099141,0.15300585321133142,36.56839891750821,159.35788322896516,112.68303986673526,283.3828425734557
12123346.662670895,1.902895410872845,0.9375495066581871,0.14921563837801832,35.66253757234638,158.361689489958,111.9786245185077,281.6113317589696
12263776.429082425,1.9249374398183057,0.9143792075857988,0.14552797074773016,34.78118500870751,157.374063768653,111.28026767369869,279.85505727394803
12405832.851882089,1.947234790752172,0.8918327085429556,0.141939583975645,33.923560570179156,156.3948410709946,110.58785266389266,278.1137257128594
12549534.773307372,1.969790421175227,0.8698903258838906,0.1384473453122409,33.08891552962558,155.42386309802822,109.90126755482537,276.3870555759319
12694901.253853153,1.992607322846202,0.8485331694195597,0.13504824829055562,32.2765313414428,154.46097785127404,109.220404867341,274.67477656739874
12841951.574800033,2.015688522178627,0.8277430997389269,0.13173940593365796,31.485718018144258,153.50603926753374,108.54516131916156,272.97662894608163
12990705.240771674,2.039037080642234,0.8075026885130963,0.12851804443685433,30.715812620408187,152.55890688049124,107.8754375856024,271.29236292362293
13141181.982321933,2.0626560951690367,0.7877951815258016,0.12538149728380832,29.966177850830192,151.6194455067386,107.21113807755908,269.6217381061517
13293401.7585518,2.0865486985640875,0.7686044641998149,0.12232719975989825,29.236200742615686,150.68752495410715,106.55217073526626,267.9645229756151
13447384.759756912,2.1107180599210347,0.7499150294116715,0.1193526838297716,28.525291435315417,149.7630197503928,105.8984468364776,266.3204944073761
13603151.410105499,2.135167385042458,0.7317119474075543,0.11645557334930923,27.83288203048491,148.84580889076162,105.24988081785445,264.68943722102983
13760722.370347342,2.1598999168650668,0.7139808376511482,0.11363357958507225,27.15842552083227,147.93577560228465,104.6063901084669,263.07114376168124
13920118.54055436,2.1849189358898697,0.6967078424503242,0.11088449701685854,26.501394787029195,147.0328071242016,103.96789497441668,261.465413509192
14081361.062892675,2.2102277606172778,0.6798796022239331,0.1082061994012905,25.861281656908435,146.1367945026499,103.33431837368873,259.87205271315156
14244471.324426938,2.2358297479872764,0.6634832322826625,0.10559663607637393,25.23759602225337,145.24763239871027,102.7055858204189,258.2908740515288
14409470.959956978,2.2617282938246706,0.6475063010094092,0.10305382848879617,24.62986500882229,144.36521890872845,102.08162525784228,256.72169631115355
14576381.854887592,2.2879268332895295,0.6319368093348208,0.10057586692735732,24.037632195638402,143.48945539596582,101.46236693925208,255.16434408834445
14745226.148131328,2.314428841332809,0.6167631714129198,0.09816090744740015,23.46045687992864,142.62024633271938,100.84774331636171,253.61864750815406
14916026.235044876,2.3412378331572556,0.6019741964099466,0.0958071689724145,22.897913384407065,141.75749915212668,100.23768893451503,252.08444196083693
15088804.770399744,2.368357364683683,0.5875590713269634,0.09351293056016974,22.34959040388057,140.90112410893698,99.6321403342367,250.5615678542615
15263584.67138705,2.3957910330226104,0.5735073447835857,0.09127652882181558,21.81509038841393,140.05103414859852,99.03103595866274,249.0498703811108
15440389.120657302,2.4235424769513894,0.5598089116961381,0.08909635548333472,21.294028960517,139.20714478405952,98.43431606642602,247.54919929980028
15619241.569395194,2.4516153773968283,0.5464539987891259,0.08697085507962199,20.786034364029657,138.369373979739,97.84192264961088,246.05940872814537
15800165.740430338,2.480013457923456,0.5334331508837625,0.08489852277223564,20.290746942564322,137.53764204215992,97.25379935641928,244.5803569488767
15983185.631383752,2.508740485227398,0.5207372179119065,0.08287790228260139,19.807818645541733,136.71187151678748,96.66989141822444,243.11190622618983
16168325.517850783,2.537800269635973,0.5083573426077815,0.08090758393308861,19.33691256000818,135.89198709064715,96.09014558071136,241.65392263257291
16355609.956621187,2.5671966656131198,0.4962849488335423,0.07898620278896662,18.877702466563026,135.07791550033028,95.51451003882701,240.2062758852148
16545063.788936198,2.596933572270632,0.48451173049822716,0.07711243689480107,18.42987241785746,134.26958544503134,94.94293437528822,238.76883919136105
